IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
090B,Non-insulin-dependent diabetes mellitus(E11),2260,3660,1429,78,7458,2004
090C,Malnutrition-related diabetes mellitus(E12),222,252,88,0,566,2004
090E,Unspecified diabetes mellitus(E14),2415,3961,1391,63,7968,2004
090A,Insulin-dependent diabetes mellitus(E10),1899,2972,1100,33,6150,2014
090B,Non-insulin-dependent diabetes mellitus(E11),3509,6727,2327,60,12755,2014
090C,Malnutrition-related diabetes mellitus(E12),75,145,53,7,286,2014
090D,Other specified diabetes mellitus(E13),371,466,142,0,994,2014
090E,Unspecified diabetes mellitus(E14),4588,9365,2977,21,17111,2014
090B,Non-insulin-dependent diabetes mellitus(E11),3617.9999999999905,6921.0000000000073,2086,15.000000000000023,12758.000000000022,2015
090C,Malnutrition-related diabetes mellitus(E12),72.999999999999929,152.99999999999991,32.000000000000007,0,267.99999999999989,2015
090E,Unspecified diabetes mellitus(E14),4312.9999999999964,9910.0000000000127,3145.9999999999973,12.000000000000005,17548.999999999993,2015
090A,Insulin-dependent diabetes mellitus(E10),1712.0000000000018,2801.9999999999973,922.99999999999943,4.0000000000000124,5555.0000000000009,2016
090B,Non-insulin-dependent diabetes mellitus(E11),3353.0000000000023,6725.0000000000064,2084.9999999999968,21.000000000000021,12305.999999999996,2016
090C,Malnutrition-related diabetes mellitus(E12),15.000000000000018,20.000000000000039,13,0,54.00000000000005,2016
090D,Other specified diabetes mellitus(E13),368.00000000000051,468.00000000000108,120,0,963.99999999999875,2016
090E,Unspecified diabetes mellitus(E14),5335,11726.999999999996,3682.0000000000073,5,20966.999999999971,2016
090B,Non-insulin-dependent diabetes mellitus (E11),2980.9999999999936,5989.0000000000118,1916.9999999999977,23.000000000000021,11042.999999999995,2017
090C,Malnutrition-related diabetes mellitus (E12),8.0000000000000195,24.000000000000043,5.0000000000000044,0,41.000000000000057,2017
090E,Unspecified diabetes mellitus (E14),5240.9999999999936,11917.999999999991,4135.0000000000027,11,21506.999999999982,2017
090A,Insulin-dependent diabetes mellitus (E10),1660.999999999998,2993.9999999999991,975.00000000000273,4.0000000000000124,5780.0000000000109,2018
090B,Non-insulin-dependent diabetes mellitus (E11),3012.9999999999982,6179.0000000000018,2184.9999999999986,6,11602.999999999996,2018
090C,Malnutrition-related diabetes mellitus (E12),26,43.000000000000036,19.00000000000006,0,88.999999999999631,2018
090D,Other specified diabetes mellitus (E13),263.00000000000034,264.00000000000023,81.999999999999915,0,618.00000000000068,2018
090E,Unspecified diabetes mellitus (E14),5766.9999999999918,13267.999999999998,4796.9999999999891,13,24072.000000000044,2018
090B,Non-insulin-dependent diabetes mellitus (E11),3579.9999999999959,7203.9999999999918,2550.9999999999991,7.000000000000016,13503.999999999996,2019
090C,Malnutrition-related diabetes mellitus (E12),26.000000000000028,51,22.000000000000014,0,99.000000000000185,2019
090E,Unspecified diabetes mellitus (E14),7037.0000000000164,15291.000000000015,5456.0000000000055,14,28036.999999999964,2019
090A,Insulin-dependent diabetes mellitus (E10),1329.0000000000005,2185.9999999999977,835,0,4504,2020
090B,Non-insulin-dependent diabetes mellitus (E11),2821.0000000000032,5475.99999999999,1818.0000000000005,18.000000000000011,10347.999999999996,2020
090C,Malnutrition-related diabetes mellitus (E12),76,75,46.000000000000021,0,203.00000000000031,2020
090D,Other specified diabetes mellitus (E13),173.00000000000034,236.9999999999998,86,0,505.99999999999926,2020
090E,Unspecified diabetes mellitus (E14),5404.9999999999864,11957.000000000029,4420.9999999999964,8.0000000000000124,22002.999999999975,2020
090B,Non-insulin-dependent diabetes mellitus (E11),2296,4915.9999999999991,1775.0000000000016,5.0000000000000009,9137.0000000000255,2021
090C,Malnutrition-related diabetes mellitus (E12),24,62.000000000000007,32,0,119,2021
090E,Unspecified diabetes mellitus (E14),3688.0000000000032,8063.0000000000009,3072,5,15005,2021
090A,Insulin-dependent diabetes mellitus (E10),1085,1869.0000000000005,757.99999999999966,1.0000000000000002,3960.9999999999977,2022
090B,Non-insulin-dependent diabetes mellitus (E11),2509.0000000000014,5356,2078.0000000000018,0,10093.000000000004,2022
090C,Malnutrition-related diabetes mellitus (E12),5,8,5,0,18.000000000000004,2022
090D,Other specified diabetes mellitus (E13),110,198.00000000000006,107,1.0000000000000002,422.99999999999983,2022
090E,Unspecified diabetes mellitus (E14),3978.0000000000073,8828.9999999999891,3632.9999999999982,4.0000000000000044,16676.000000000007,2022
