IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",256,700,302,7,1287,2004
051,Malaignant neoplasm of oesophagus (C15),294,981,443,7,1727,2004
052,Malignant neoplasm of stomach (C16),51,130,35,2,218,2004
053,Malignant neoplasm of colon (C18),111,372,129,1,616,2004
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and",225,416,160,2,806,2004
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),38,82,34,2,187,2004
056,Malignant neoplasm of pancreas (C25),54,95,42,0,192,2004
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C2",23,60,20,0,104,2004
058,Malignant neoplasm of larnyx (C32),26,67,37,0,132,2004
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",166,336,116,2,624,2004
060,Malignant neoplasm of other respiratory and intrathoracic or,25,24,7,0,64,2004
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",144,88,22,0,308,2004
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",53,95,46,0,200,2004
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",118,112,23,0,288,2004
064,Malignant neoplasm of breast (C50),2051,2321,384,28,4809,2004
065,Malignant neoplasm of cervix uteri (C53),776,1486,374,16,2656,2004
066,Malignant neoplasm of other and unspecified parts of uterus,123,305,52,2,483,2004
067,Malignant neoplasm of placenta (C58),277,23,5,1,306,2004
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57",1452,1925,296,13,3739,2004
069,Malignant neoplasm of prostate (C61),NA,NA,NA,NA,NA,2004
070,"Malignant neoplasm of other male genital organs (C60,C62,C63",NA,NA,NA,NA,NA,2004
071,Malignant neoplasm of bladder (C67),17,48,25,0,91,2004
072,Malignant neoplasm of other parts of the urinary tract (C64-,52,45,15,2,158,2004
073,Malignant neoplasm of eye and adnexa (C69),7,7,2,0,100,2004
074,Malignant neoplasm of brain(C71),172,85,12,0,366,2004
075,Malignant neoplasm of other parts of the central nervous sys,7,9,5,0,25,2004
076,Malignant neoplasm of thyroid gland (C73),344,211,58,1,629,2004
077,"Malignant neoplasm of other endocrine, ill-defined, secondar",639,814,289,6,1886,2004
078,Hodgkin's disease (C81),80,43,12,0,156,2004
079,Leukaemia (C91-C95),616,273,90,2,1797,2004
080,Malignant neoplasm of other lymphoid haematopoietic and rela,483,718,259,5,1567,2004
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",291,853,354,0,1529,2014
051,Malaignant neoplasm of oesophagus (C15),179,1225,527,2,1939,2014
052,Malignant neoplasm of stomach (C16),66,234,117,0,418,2014
053,Malignant neoplasm of colon (C18),683,1511,238,0,2462,2014
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",527,1389,309,0,2231,2014
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),47,160,93,1,346,2014
056,Malignant neoplasm of pancreas (C25),49,135,33,0,217,2014
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",78,176,57,0,313,2014
058,Malignant neoplasm of larnyx (C32),38,97,37,0,192,2014
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",354,745,266,1,1376,2014
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",71,86,23,0,206,2014
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",128,66,26,0,434,2014
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",97,241,73,0,416,2014
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",206,210,39,0,605,2014
064,Malignant neoplasm of breast (C50),5092,7812,1053,2,13985,2014
065,Malignant neoplasm of cervix uteri (C53),1037,2533,538,2,4128,2014
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",317,1376,262,0,1961,2014
067,Malignant neoplasm of placenta (C58),142,30,1,0,173,2014
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2698,4004,689,0,7504,2014
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2014
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,1,0,0,1,2014
071,Malignant neoplasm of bladder (C67),64,226,127,0,419,2014
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",27,73,39,0,317,2014
073,Malignant neoplasm of eye and adnexa (C69),17,31,4,0,235,2014
074,Malignant neoplasm of brain(C71),233,184,26,0,663,2014
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",38,41,14,0,99,2014
076,Malignant neoplasm of thyroid gland (C73),654,501,116,0,1285,2014
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",271,593,183,0,1180,2014
078,Hodgkin's disease (C81),347,179,40,0,606,2014
079,Leukaemia (C91-C95),558,597,191,0,2774,2014
