IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",837,2088,774,38,3762,2004
051,Malaignant neoplasm of oesophagus (C15),309,871,394,3,1583,2004
052,Malignant neoplasm of stomach (C16),143,293,72,2,513,2004
053,Malignant neoplasm of colon (C18),271,346,94,5,724,2004
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and",212,459,169,1,849,2004
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),31,140,59,3,268,2004
056,Malignant neoplasm of pancreas (C25),72,100,18,0,270,2004
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C2",23,66,17,0,108,2004
058,Malignant neoplasm of larnyx (C32),115,545,184,2,847,2004
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",366,1078,304,3,1762,2004
060,Malignant neoplasm of other respiratory and intrathoracic or,29,35,24,0,92,2004
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",224,97,43,0,441,2004
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",88,116,66,1,277,2004
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",74,79,23,0,216,2004
064,Malignant neoplasm of breast (C50),48,83,78,0,209,2004
065,Malignant neoplasm of cervix uteri (C53),NA,NA,NA,NA,NA,2004
066,Malignant neoplasm of other and unspecified parts of uterus,NA,NA,NA,NA,NA,2004
067,Malignant neoplasm of placenta (C58),NA,NA,NA,NA,NA,2004
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57",NA,NA,NA,NA,NA,2004
069,Malignant neoplasm of prostate (C61),33,399,551,5,991,2004
070,"Malignant neoplasm of other male genital organs (C60,C62,C63",141,132,88,25,403,2004
071,Malignant neoplasm of bladder (C67),120,468,217,8,815,2004
072,Malignant neoplasm of other parts of the urinary tract (C64-,42,96,31,1,232,2004
073,Malignant neoplasm of eye and adnexa (C69),12,7,4,0,75,2004
074,Malignant neoplasm of brain(C71),224,108,18,0,541,2004
075,Malignant neoplasm of other parts of the central nervous sys,17,14,11,0,44,2004
076,Malignant neoplasm of thyroid gland (C73),223,225,98,8,574,2004
077,"Malignant neoplasm of other endocrine, ill-defined, secondar",470,838,349,7,1877,2004
078,Hodgkin's disease (C81),170,99,24,1,573,2004
079,Leukaemia (C91-C95),559,359,114,6,1938,2004
080,Malignant neoplasm of other lymphoid haematopoietic and rela,394,557,217,18,1332,2004
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1491,4176,1035,2,6755,2014
051,Malaignant neoplasm of oesophagus (C15),327,1727,561,21,2655,2014
052,Malignant neoplasm of stomach (C16),127,630,137,0,899,2014
053,Malignant neoplasm of colon (C18),489,1092,238,0,1834,2014
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",475,1413,563,0,2456,2014
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),114,429,177,0,770,2014
056,Malignant neoplasm of pancreas (C25),101,216,46,0,367,2014
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",75,170,42,0,288,2014
058,Malignant neoplasm of larnyx (C32),199,1015,277,0,1499,2014
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",609,2855,751,0,4247,2014
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",114,165,34,0,339,2014
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",245,100,39,0,617,2014
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",145,478,133,0,764,2014
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",217,220,58,0,648,2014
064,Malignant neoplasm of breast (C50),59,103,53,0,219,2014
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2014
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2014
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2014
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2014
069,Malignant neoplasm of prostate (C61),40,1092,1075,0,2211,2014
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",209,208,76,0,514,2014
071,Malignant neoplasm of bladder (C67),198,986,621,0,1821,2014
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",98,297,63,0,559,2014
073,Malignant neoplasm of eye and adnexa (C69),5,22,6,0,180,2014
074,Malignant neoplasm of brain(C71),260,263,34,0,732,2014
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",38,32,9,0,81,2014
076,Malignant neoplasm of thyroid gland (C73),202,196,57,0,460,2014
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",319,811,258,0,1560,2014
078,Hodgkin's disease (C81),360,321,63,0,795,2014
079,Leukaemia (C91-C95),1091,536,183,0,4166,2014
