IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1093,2788,1076,45,5049,2004
051,Malaignant neoplasm of oesophagus (C15),603,1852,837,10,3310,2004
052,Malignant neoplasm of stomach (C16),194,423,107,4,731,2004
053,Malignant neoplasm of colon (C18),382,718,223,6,1340,2004
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and",437,875,329,3,1655,2004
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),69,222,93,5,455,2004
056,Malignant neoplasm of pancreas (C25),126,195,60,0,462,2004
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C2",46,126,37,0,212,2004
058,Malignant neoplasm of larnyx (C32),141,612,221,2,979,2004
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",532,1414,420,5,2386,2004
060,Malignant neoplasm of other respiratory and intrathoracic or,54,59,31,0,156,2004
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",368,185,65,0,749,2004
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",141,211,112,1,477,2004
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",192,191,46,0,504,2004
064,Malignant neoplasm of breast (C50),2099,2404,462,28,5018,2004
065,Malignant neoplasm of cervix uteri (C53),NA,NA,NA,NA,NA,2004
066,Malignant neoplasm of other and unspecified parts of uterus,NA,NA,NA,NA,NA,2004
067,Malignant neoplasm of placenta (C58),NA,NA,NA,NA,NA,2004
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57",NA,NA,NA,NA,NA,2004
069,Malignant neoplasm of prostate (C61),NA,NA,NA,NA,NA,2004
070,"Malignant neoplasm of other male genital organs (C60,C62,C63",NA,NA,NA,NA,NA,2004
071,Malignant neoplasm of bladder (C67),137,516,242,8,906,2004
072,Malignant neoplasm of other parts of the urinary tract (C64-,94,141,46,3,390,2004
073,Malignant neoplasm of eye and adnexa (C69),19,14,6,0,175,2004
074,Malignant neoplasm of brain(C71),396,193,30,0,907,2004
075,Malignant neoplasm of other parts of the central nervous sys,24,23,16,0,69,2004
076,Malignant neoplasm of thyroid gland (C73),567,436,156,9,1203,2004
077,"Malignant neoplasm of other endocrine, ill-defined, secondar",1109,1652,638,13,3763,2004
078,Hodgkin's disease (C81),250,142,36,1,729,2004
079,Leukaemia (C91-C95),1175,632,204,8,3735,2004
080,Malignant neoplasm of other lymphoid haematopoietic and rela,877,1275,476,23,2899,2004
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1782,5029,1389,2,8284,2014
051,Malaignant neoplasm of oesophagus (C15),506,2952,1088,23,4594,2014
052,Malignant neoplasm of stomach (C16),193,864,254,0,1317,2014
053,Malignant neoplasm of colon (C18),1172,2603,476,0,4296,2014
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",1002,2802,872,0,4687,2014
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),161,589,270,1,1116,2014
056,Malignant neoplasm of pancreas (C25),150,351,79,0,584,2014
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",153,346,99,0,601,2014
058,Malignant neoplasm of larnyx (C32),237,1112,314,0,1691,2014
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",963,3600,1017,1,5623,2014
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",185,251,57,0,545,2014
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",373,166,65,0,1051,2014
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",242,719,206,0,1180,2014
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",423,430,97,0,1253,2014
064,Malignant neoplasm of breast (C50),5151,7915,1106,2,14204,2014
065,Malignant neoplasm of cervix uteri (C53),1037,2533,538,2,4128,2014
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",317,1376,262,0,1961,2014
067,Malignant neoplasm of placenta (C58),142,30,1,0,173,2014
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2698,4004,689,0,7504,2014
069,Malignant neoplasm of prostate (C61),40,1092,1075,0,2211,2014
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",209,209,76,0,515,2014
071,Malignant neoplasm of bladder (C67),262,1212,748,0,2240,2014
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",125,370,102,0,876,2014
073,Malignant neoplasm of eye and adnexa (C69),22,53,10,0,415,2014
074,Malignant neoplasm of brain(C71),493,447,60,0,1395,2014
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",76,73,23,0,180,2014
076,Malignant neoplasm of thyroid gland (C73),856,697,173,0,1745,2014
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",590,1404,441,0,2740,2014
078,Hodgkin's disease (C81),707,500,103,0,1401,2014
079,Leukaemia (C91-C95),1649,1133,374,0,6940,2014
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1627,3420,1055,2,6475,2014
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1878.999999999995,5595.999999999997,1483.9999999999984,5,9122.999999999996,2015
051,Malaignant neoplasm of oesophagus (C15),554.0000000000002,3464.0000000000014,1268,16.00000000000002,5337,2015
052,Malignant neoplasm of stomach (C16),330.99999999999966,1163.9999999999986,337,0,1890.0000000000011,2015
053,Malignant neoplasm of colon (C18),1282.0000000000011,2855.9999999999977,664,0,4845.999999999998,2015
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",1099.9999999999995,3548.000000000001,820.9999999999992,0,5607,2015
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),177.99999999999974,809.9999999999999,293.9999999999999,0,1371.9999999999993,2015
056,Malignant neoplasm of pancreas (C25),125.00000000000007,332.0000000000001,117.99999999999989,0,583.0000000000001,2015
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",134.00000000000006,352.9999999999999,127.99999999999982,0,635.9999999999995,2015
058,Malignant neoplasm of larnyx (C32),272,1198.0000000000002,339.00000000000045,0,1839.0000000000014,2015
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",976.0000000000002,4180.000000000004,1197.000000000001,0,6405.999999999998,2015
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",148.00000000000006,226.0000000000001,58.00000000000002,0,468.0000000000001,2015
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",443.00000000000034,277,73.00000000000011,0,1368.0000000000023,2015
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",233.9999999999999,667,253.9999999999998,0,1192.0000000000005,2015
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",496.0000000000001,499.00000000000045,147.0000000000001,0,1469.999999999999,2015
064,Malignant neoplasm of breast (C50),5261.000000000004,8682.999999999987,1236.999999999999,0,15271.99999999999,2015
065,Malignant neoplasm of cervix uteri (C53),994.9999999999992,2689.0000000000005,544.0000000000003,1,4240.000000000005,2015
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",456,1421.9999999999986,247.00000000000063,0,2136.999999999999,2015
067,Malignant neoplasm of placenta (C58),144.99999999999986,33.00000000000007,7.000000000000004,0,186.0000000000005,2015
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2604.999999999998,4650.999999999988,938.0000000000015,0,8374.99999999999,2015
069,Malignant neoplasm of prostate (C61),73.99999999999991,1026.0000000000002,1100.000000000002,0,2216.9999999999995,2015
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",202.0000000000002,193.00000000000034,48,0,493.9999999999996,2015
071,Malignant neoplasm of bladder (C67),261.0000000000002,1539.9999999999986,908.0000000000019,0,2726.000000000006,2015
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",159.00000000000003,383.99999999999983,97.99999999999991,0,882,2015
073,Malignant neoplasm of eye and adnexa (C69),22,38.000000000000014,5.000000000000005,0,345.00000000000017,2015
074,Malignant neoplasm of brain(C71),503.0000000000016,585.000000000001,138.0000000000001,0,1575.0000000000016,2015
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",66.00000000000006,67.00000000000011,27.00000000000001,0,164,2015
076,Malignant neoplasm of thyroid gland (C73),926.0000000000008,796.0000000000005,167.00000000000006,1.000000000000001,1922.0000000000055,2015
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",848.9999999999991,2012.9999999999982,635.0000000000002,1.000000000000001,4075.9999999999973,2015
078,Hodgkin's disease (C81),552.0000000000006,420.0000000000002,72.00000000000003,0,1198.9999999999982,2015
079,Leukaemia (C91-C95),2335.000000000001,2072.9999999999964,632.0000000000002,0,10548.000000000011,2015
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1899.999999999999,4230.999999999998,1265.9999999999989,0,7819.999999999992,2015
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1937.9999999999977,6543.000000000005,1693.9999999999998,0,10297.999999999993,2016
051,Malaignant neoplasm of oesophagus (C15),523.9999999999995,3859.000000000001,1260.000000000001,2.000000000000007,5671.0000000000055,2016
052,Malignant neoplasm of stomach (C16),271.0000000000001,1152.000000000001,307.0000000000002,0,1733.9999999999993,2016
053,Malignant neoplasm of colon (C18),1520.0000000000025,3493.9999999999955,769.9999999999998,3.00000000000001,5810.99999999999,2016
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",1131.0000000000002,3979.9999999999973,952.0000000000003,0,6085.999999999996,2016
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),167.0000000000001,868.9999999999998,364.99999999999943,0,1482.999999999999,2016
056,Malignant neoplasm of pancreas (C25),116,342.9999999999998,121.0000000000001,0,591.9999999999997,2016
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",160,390.0000000000001,121.00000000000011,0,682.0000000000017,2016
058,Malignant neoplasm of larnyx (C32),204.9999999999992,1317.000000000002,398.00000000000006,0,1925.9999999999998,2016
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",980,4452.9999999999945,1156.000000000001,0,6618.999999999999,2016
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",1100.9999999999993,213.99999999999994,61.00000000000007,0,1409.0000000000007,2016
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",685.0000000000007,298.9999999999999,107.99999999999986,0,1838.0000000000005,2016
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",225.99999999999991,664.0000000000005,256.9999999999998,0,1187.9999999999984,2016
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",559.9999999999998,695.0000000000008,166.0000000000002,0,1724.0000000000007,2016
064,Malignant neoplasm of breast (C50),5257.999999999993,9135.000000000007,1440.0000000000018,0,15851.000000000025,2016
065,Malignant neoplasm of cervix uteri (C53),1009.0000000000015,2790.000000000009,620.0000000000003,1.0000000000000038,4426.0000000000055,2016
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",400.0000000000006,1500.0000000000005,279.00000000000017,0,2189.0000000000005,2016
067,Malignant neoplasm of placenta (C58),169.00000000000009,26.000000000000014,0,1.000000000000003,199.00000000000048,2016
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2208.0000000000005,4861.000000000002,1004.9999999999999,0,8243.999999999993,2016
069,Malignant neoplasm of prostate (C61),39.000000000000036,1058.000000000002,1366.9999999999984,0,2468.9999999999955,2016
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",222.99999999999986,226.99999999999977,93.99999999999987,0,615.0000000000014,2016
071,Malignant neoplasm of bladder (C67),241.99999999999972,1445.9999999999986,839.9999999999985,0,2544,2016
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",178.00000000000023,492.9999999999999,170.9999999999999,0,1065.0000000000014,2016
073,Malignant neoplasm of eye and adnexa (C69),22.000000000000053,36.00000000000006,10.000000000000014,0,401.000000000001,2016
074,Malignant neoplasm of brain(C71),593.0000000000008,620.0000000000002,91.00000000000006,0,1695.000000000005,2016
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",71.00000000000006,83.00000000000009,22.000000000000014,0,183.00000000000003,2016
076,Malignant neoplasm of thyroid gland (C73),1221.999999999999,1003.0000000000009,225.99999999999977,0,2488.0000000000014,2016
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",695.9999999999982,1629.000000000001,555.0000000000007,0,3229.9999999999936,2016
078,Hodgkin's disease (C81),615.9999999999991,352.0000000000002,105.00000000000014,0,1219.9999999999995,2016
079,Leukaemia (C91-C95),2062.0000000000005,1392.0000000000005,590.0000000000001,0,11822.000000000015,2016
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1868.999999999999,4435.000000000002,1512.9999999999998,1.0000000000000036,8149.000000000004,2016
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1910.999999999996,6937.000000000003,1619,1.0000000000000042,10563.000000000002,2017
051,Malaignant neoplasm of oesophagus (C15),546.9999999999997,3820,1393.9999999999986,0,5778.9999999999945,2017
052,Malignant neoplasm of stomach (C16),218.00000000000026,1113.000000000002,283,0,1619.9999999999968,2017
053,Malignant neoplasm of colon (C18),1172,3205,645.0000000000011,0,5061.000000000007,2017
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",1222.9999999999982,3807.9999999999973,1104,0,6160.999999999998,2017
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),180.00000000000043,758.9999999999991,296.00000000000017,0,1362.9999999999995,2017
056,Malignant neoplasm of pancreas (C25),154.00000000000017,326.00000000000045,108.00000000000011,1.0000000000000022,593.0000000000003,2017
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",139.00000000000003,487.9999999999993,148.9999999999999,0,786,2017
058,Malignant neoplasm of larnyx (C32),252.9999999999999,1371.0000000000007,429.0000000000002,1.0000000000000033,2058.999999999997,2017
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",859.0000000000013,4436.000000000002,1285.9999999999998,1.0000000000000036,6601.00000000001,2017
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",730.0000000000001,239,55.000000000000036,0,1042.000000000001,2017
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",560.0000000000005,307.0000000000004,79.00000000000003,1.0000000000000033,1703.9999999999964,2017
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",164.00000000000017,454,164.00000000000023,0,792.0000000000007,2017
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",576.0000000000006,715.9999999999997,146.00000000000006,0,1751.0000000000023,2017
064,Malignant neoplasm of breast (C50),5153.000000000003,9415.999999999987,1534.999999999998,0,16123.999999999962,2017
065,Malignant neoplasm of cervix uteri (C53),1017.0000000000003,2664.0000000000014,693.9999999999995,0,4381.999999999996,2017
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",375.99999999999983,1637.9999999999998,323.9999999999996,0,2340.999999999997,2017
067,Malignant neoplasm of placenta (C58),181.00000000000017,10,1.000000000000004,0,202.0000000000006,2017
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2120.9999999999977,5135.999999999985,1039.0000000000005,0,8421.000000000018,2017
069,Malignant neoplasm of prostate (C61),54.999999999999815,1312.9999999999993,1349.0000000000043,0,2720.000000000001,2017
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",288.0000000000006,196,76,0,596.0000000000002,2017
071,Malignant neoplasm of bladder (C67),246.00000000000023,1580.000000000002,909.0000000000002,0,2753.9999999999995,2017
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",185.00000000000006,441.00000000000034,153.99999999999977,0,1080.9999999999998,2017
073,Malignant neoplasm of eye and adnexa (C69),25.000000000000004,27.000000000000107,11.000000000000034,0,351.00000000000034,2017
074,Malignant neoplasm of brain(C71),541,495.99999999999955,117.99999999999991,0,1601.9999999999986,2017
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",50.99999999999996,52.000000000000036,26.000000000000007,0,141.00000000000014,2017
076,Malignant neoplasm of thyroid gland (C73),1142.0000000000002,862.0000000000013,219.99999999999983,0,2264.000000000001,2017
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",717.9999999999994,1528.999999999998,554.9999999999997,0,3306.9999999999995,2017
078,Hodgkin's disease (C81),591.0000000000005,321.99999999999966,124.00000000000017,0,1216.9999999999977,2017
079,Leukaemia (C91-C95),1928.000000000001,1318.000000000002,507,0,10876.999999999989,2017
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1793.0000000000025,4266.00000000001,1530.9999999999986,0,7915.000000000007,2017
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",2143,7275.000000000003,1933.0000000000014,1.0000000000000049,11455.000000000005,2018
051,Malaignant neoplasm of oesophagus (C15),658.9999999999993,4359.999999999996,1632,0,6668.9999999999945,2018
052,Malignant neoplasm of stomach (C16),254,1217.0000000000005,379.99999999999983,0,1857.0000000000005,2018
053,Malignant neoplasm of colon (C18),1331.9999999999982,3814.0000000000014,824.0000000000005,0,5987,2018
