IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
125,Essential hypertension (I10),16413,35565,21833,1183,74994,2004
126,Hypertensive heart disease (I11),1386,2675,1375,244,5680,2004
127,Other hypertensive diseases (I12-I15),1462,2098,1428,468,5456,2004
128,"Acute myocardial infarction (I21,I22)",2980,6799,3270,383,13432,2004
129,"Other ischaemic heart disease  (I20,I23-I25)",10691,23972,12934,703,48300,2004
130,Pulmonary embolism (I26),176,278,261,58,773,2004
131,Cor pulmonale (I27.9),152,777,483,33,1445,2004
132,Heart failure (I50),1081,4029,3889,239,9238,2004
134,Cerebroavascular disease (I60-I69),2366,8160,7799,243,18568,2004
135,Atherosclerosis (I70),74,167,103,31,375,2004
136,Arterial embolism and thrombosis (I74),83,127,122,21,353,2004
137,"Other diseases of arteries, artherosclerosis and capillaries",366,391,251,49,1057,2004
125,Essential hypertension (I10),17906,43586,27805,480,89777,2014
126,Hypertensive heart disease (I11),1350,2434,1388,21,5206,2014
127,Other hypertensive diseases (I12-I15),1057,1656,811,36,3592,2014
128,"Acute myocardial infarction (I21,I22)",5715,15841,7913,63,29589,2014
129,"Other ischaemic heart disease  (I20,I23-I25)",14106,38496,20042,101,72970,2014
130,Pulmonary embolism (I26),102,122,70,0,295,2014
131,Cor pulmonale (I27.9),115,435,447,0,1008,2014
132,Heart failure (I50),1600,7027,5885,21,14651,2014
134,Cerebroavascular disease (I60-I69),4440,18336,15624,96,38655,2014
135,Atherosclerosis (I70),63,119,78,0,263,2014
136,Arterial embolism and thrombosis (I74),101,106,29,0,241,2014
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",494,1017,437,0,1976,2014
125,Essential hypertension (I10),17501.999999999978,42551.99999999997,27357.999999999964,331.00000000000034,87742.99999999996,2015
126,Hypertensive heart disease (I11),1349,2585.000000000001,1311,18.000000000000004,5270.000000000002,2015
127,Other hypertensive diseases (I12-I15),1059.999999999999,1567.9999999999984,803.9999999999992,17.000000000000014,3480.9999999999995,2015
128,"Acute myocardial infarction (I21,I22)",6012.000000000004,17846.00000000002,9090.999999999993,78.00000000000004,33075.00000000003,2015
129,"Other ischaemic heart disease  (I20,I23-I25)",13968.999999999998,38273.99999999998,19718.000000000015,74.00000000000001,72268.00000000009,2015
130,Pulmonary embolism (I26),74.00000000000004,71,41,0,186.99999999999994,2015
131,Cor pulmonale (I27.9),70,410.00000000000006,393.99999999999994,3.0000000000000018,883.0000000000005,2015
132,Heart failure (I50),1747.0000000000018,7355.000000000003,6428.000000000007,22,15646.99999999999,2015
134,Cerebroavascular disease (I60-I69),4753.000000000001,18994.999999999956,16538.99999999997,86.00000000000011,40546.000000000044,2015
135,Atherosclerosis (I70),50.00000000000007,103.99999999999991,60.000000000000036,0,216.99999999999991,2015
136,Arterial embolism and thrombosis (I74),55.000000000000014,64.99999999999993,13.000000000000002,0,136.99999999999994,2015
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",477.9999999999999,939.0000000000011,451.00000000000097,1.0000000000000016,1909.9999999999984,2015
125,Essential hypertension (I10),17859.000000000022,43525.00000000007,27917.000000000004,257.0000000000001,89807.99999999994,2016
126,Hypertensive heart disease (I11),1297.9999999999998,2382.9999999999995,1200.9999999999993,21,4917.000000000001,2016
127,Other hypertensive diseases (I12-I15),701.0000000000005,1569.9999999999998,736.9999999999999,44.00000000000007,3063.000000000004,2016
128,"Acute myocardial infarction (I21,I22)",5985.000000000001,19367.000000000004,9833.999999999996,45.00000000000003,35274.00000000003,2016
129,"Other ischaemic heart disease  (I20,I23-I25)",14027.000000000007,38904.000000000015,20157.00000000001,41.00000000000007,73294,2016
130,Pulmonary embolism (I26),126,146.99999999999977,71.00000000000003,1.000000000000001,353.00000000000034,2016
131,Cor pulmonale (I27.9),69.00000000000006,355.0000000000002,275.9999999999997,1.0000000000000036,704.0000000000003,2016
132,Heart failure (I50),1700.9999999999998,7028,6149.000000000007,18.000000000000057,14999.000000000018,2016
134,Cerebroavascular disease (I60-I69),5098.000000000004,20851.000000000007,18078.999999999975,85.99999999999996,44275.99999999996,2016
135,Atherosclerosis (I70),108.00000000000003,173.00000000000006,54.000000000000085,0,337.99999999999966,2016
136,Arterial embolism and thrombosis (I74),71.00000000000006,55.00000000000007,25.00000000000001,0,153.0000000000001,2016
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",536,1225.000000000001,535.0000000000006,0,2339.999999999998,2016
125,Essential hypertension (I10),17352.000000000025,40717.000000000015,26368.000000000015,134.0000000000001,84793.00000000009,2017
126,Hypertensive heart disease (I11),1201,2198,1277.0000000000016,17.000000000000007,4702,2017
127,Other hypertensive diseases (I12-I15),490.00000000000034,986.0000000000016,504.00000000000017,26,2025.0000000000036,2017
128,"Acute myocardial infarction (I21,I22)",6449.9999999999945,20677.99999999999,10767.000000000004,43.00000000000001,37977.000000000015,2017
129,"Other ischaemic heart disease  (I20,I23-I25)",13866.000000000004,38606,19945.000000000007,32.000000000000014,72623.99999999999,2017
130,Pulmonary embolism (I26),133,185.99999999999994,96,7.000000000000009,421.9999999999994,2017
131,Cor pulmonale (I27.9),79.00000000000006,306.0000000000001,256.9999999999999,4.000000000000003,648.9999999999999,2017
132,Heart failure (I50),1641.9999999999986,7085.999999999996,6007.999999999998,8.000000000000004,14854.000000000013,2017
