IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
090B,Non-insulin-dependent diabetes mellitus(E11),2315,4427,1524,65,8381,2004
090C,Malnutrition-related diabetes mellitus(E12),139,210,127,7,490,2004
090E,Unspecified diabetes mellitus(E14),2601,5285,1921,61,9949,2004
090A,Insulin-dependent diabetes mellitus(E10),2258,3935,1150,12,7534,2014
090B,Non-insulin-dependent diabetes mellitus(E11),4066,7959,2548,50,14724,2014
090C,Malnutrition-related diabetes mellitus(E12),115,157,43,7,334,2014
090D,Other specified diabetes mellitus(E13),472,576,167,6,1241,2014
090E,Unspecified diabetes mellitus(E14),4453,11404,3518,5,19575,2014
090B,Non-insulin-dependent diabetes mellitus(E11),4066.9999999999936,7984.0000000000082,2486.9999999999977,11,14715.000000000007,2015
090C,Malnutrition-related diabetes mellitus(E12),105,150.99999999999983,51,0,320.99999999999972,2015
090E,Unspecified diabetes mellitus(E14),4438.9999999999936,12127.999999999996,3812.9999999999968,6.0000000000000062,20606.999999999993,2015
090A,Insulin-dependent diabetes mellitus(E10),1882.999999999997,3550.0000000000014,1049.0000000000016,0,6675.9999999999991,2016
090B,Non-insulin-dependent diabetes mellitus(E11),3805.0000000000009,8374.0000000000091,2465.0000000000027,11.000000000000004,14810.000000000007,2016
090C,Malnutrition-related diabetes mellitus(E12),23.000000000000025,32.000000000000071,11.000000000000005,1.0000000000000013,75,2016
090D,Other specified diabetes mellitus(E13),497.99999999999977,484.00000000000023,108.99999999999987,2.0000000000000053,1108.9999999999998,2016
090E,Unspecified diabetes mellitus(E14),5564.9999999999945,14377.999999999998,4475.9999999999927,4.0000000000000089,24626.999999999956,2016
090B,Non-insulin-dependent diabetes mellitus (E11),3417.0000000000036,7321.0000000000036,2163.0000000000014,6,13032,2017
090C,Malnutrition-related diabetes mellitus (E12),10.000000000000005,30.000000000000071,7.0000000000000071,0,48,2017
090E,Unspecified diabetes mellitus (E14),5686.0000000000009,14351.000000000016,4641.0000000000082,8.0000000000000249,24941.000000000007,2017
090A,Insulin-dependent diabetes mellitus (E10),1936.9999999999989,3659.0000000000036,1158.9999999999993,0,6980.0000000000109,2018
090B,Non-insulin-dependent diabetes mellitus (E11),3837.9999999999991,8054.0000000000045,2429.0000000000032,3.0000000000000027,14470.000000000016,2018
090C,Malnutrition-related diabetes mellitus (E12),14,54.999999999999943,22.000000000000014,0,91.000000000000014,2018
090D,Other specified diabetes mellitus (E13),342.00000000000057,360.00000000000057,105.00000000000006,0,823.9999999999992,2018
090E,Unspecified diabetes mellitus (E14),6429.9999999999955,16200,5401.9999999999873,1.0000000000000044,28290.99999999992,2018
090B,Non-insulin-dependent diabetes mellitus (E11),4741.0000000000036,9662.0000000000346,2890.9999999999959,7,17538.999999999982,2019
090C,Malnutrition-related diabetes mellitus (E12),22.000000000000032,67.000000000000071,24,0,114.00000000000027,2019
090E,Unspecified diabetes mellitus (E14),7784.0000000000036,18563,6444.0000000000009,5.0000000000000187,33071.999999999993,2019
090A,Insulin-dependent diabetes mellitus (E10),1502.9999999999984,2821.9999999999982,964.99999999999955,3,5498.0000000000009,2020
090B,Non-insulin-dependent diabetes mellitus (E11),3514.0000000000009,6854.9999999999955,2178.9999999999991,3.0000000000000053,12763.999999999998,2020
090C,Malnutrition-related diabetes mellitus (E12),70.000000000000099,111.00000000000027,28.000000000000071,0,210.00000000000011,2020
090D,Other specified diabetes mellitus (E13),183,207.99999999999977,68.999999999999929,0,463.00000000000006,2020
090E,Unspecified diabetes mellitus (E14),6423.9999999999955,13841.99999999998,4969.0000000000036,8,25476.000000000044,2020
090B,Non-insulin-dependent diabetes mellitus (E11),2725.0000000000014,5840.9999999999955,1973.9999999999993,2.0000000000000027,10697.000000000005,2021
090C,Malnutrition-related diabetes mellitus (E12),43,96.000000000000014,45,0,186,2021
090E,Unspecified diabetes mellitus (E14),4300,9265.0000000000164,3600.0000000000018,5,17368.999999999978,2021
090A,Insulin-dependent diabetes mellitus (E10),1223.9999999999995,2275.9999999999959,864.0000000000008,4.0000000000000027,4587.0000000000009,2022
090B,Non-insulin-dependent diabetes mellitus (E11),2808.9999999999982,6140.0000000000073,2238.0000000000045,4.0000000000000098,11363.999999999975,2022
090C,Malnutrition-related diabetes mellitus (E12),8.0000000000000018,13.000000000000002,4.0000000000000009,0,26.000000000000004,2022
090D,Other specified diabetes mellitus (E13),159.99999999999991,313,123,0,606,2022
090E,Unspecified diabetes mellitus (E14),4170.9999999999991,9880.0000000000018,4319.9999999999955,4.0000000000000071,18635.000000000007,2022
090B,Non-insulin-dependent diabetes mellitus(E11),2145,4559,1620,20,8424,2005
090C,Malnutrition-related diabetes mellitus(E12),223,382,116,1,757,2005
090E,Unspecified diabetes mellitus(E14),2642,5675,2081,58,10581,2005
090A,Insulin-dependent diabetes mellitus(E10),2417,3962,1283,27,7917,2006
090B,Non-insulin-dependent diabetes mellitus(E11),2395,5102,2090,21,9702,2006
090C,Malnutrition-related diabetes mellitus(E12),103,228,66,2,416,2006
