IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",1654,2076,1409,46,6443,2004
150,Asthma (J45-J46),27814,23937,12421,2183,79059,2004
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1879,2891,2207,3,8895,2014
150,Asthma (J45-J46),28528,29371,17078,167,95659,2014
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1637.999999999997,2957.0000000000009,2507.9999999999986,12,8503.0000000000109,2015
150,Asthma (J45-J46),28222.000000000044,30357.000000000025,17926.999999999985,61.000000000000007,95954.999999999884,2015
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1456.9999999999973,2455.9999999999986,2178.0000000000032,3.0000000000000027,7364.9999999999891,2016
150,Asthma (J45-J46),24986.999999999953,25399.999999999964,15658.999999999978,80,83823.00000000016,2016
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1925.0000000000009,3076.0000000000009,2361.9999999999959,7.0000000000000053,8578.0000000000018,2017
150,Asthma (J45-J46),26211.999999999982,27980.000000000098,16741.999999999975,62.000000000000185,88736.000000000029,2017
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1657.0000000000018,2946.0000000000032,2410.9999999999955,1.0000000000000047,8431.0000000000055,2018
150,Asthma (J45-J46),27693.999999999953,28370.000000000015,17381.000000000004,17.000000000000075,91186.000000000058,2018
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1729.9999999999973,2703.9999999999977,2455.999999999995,0,8720.0000000000236,2019
150,Asthma (J45-J46),27764.000000000011,28872.000000000018,18392.000000000036,55,92608.999999999854,2019
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",768.99999999999932,1557.9999999999977,1506.0000000000005,1.0000000000000051,4334.0000000000036,2020
150,Asthma (J45-J46),16225.999999999996,14983.999999999975,10454.999999999996,20.000000000000057,50991.999999999876,2020
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",510.00000000000028,960,871.99999999999875,0,2692.0000000000014,2021
150,Asthma (J45-J46),10653.999999999987,8624.0000000000109,6200.0000000000036,15,30653.999999999964,2021
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1028.9999999999986,1816.0000000000014,1868.0000000000007,4.0000000000000124,6134,2022
150,Asthma (J45-J46),21407.999999999989,19777,13992.999999999973,15,74042.000000000116,2022
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",1446,1930,1468,53,6218,2005
150,Asthma (J45-J46),26563,23349,13178,1599,78619,2005
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1733,2183,1768,34,7234,2006
150,Asthma (J45-J46),30057,26987,15069,1732,89825,2006
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1597,2323,1755,18,7378,2007
150,Asthma (J45-J46),28645,26091,14842,1929,87975,2007
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1556,2197,1690,8,6806,2008
150,Asthma (J45-J46),31088,28120,20583,2331,99832,2008
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1726,2486,1737,15,7738,2009
150,Asthma (J45-J46),32574,28406,15409,547,98252,2009
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1765,2536,1834,21,7598,2010
150,Asthma (J45-J46),31048,28937,16034,277,96463,2010
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1523,2456,1807,28,7237,2011
150,Asthma (J45-J46),29465,27980,15839,325,92994,2011
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1583,2265,1868,83,7271,2012
150,Asthma (J45-J46),29857,28431,16801,286,94694,2012
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1877,2732,2042,11,8218,2013
150,Asthma (J45-J46),28428,28729,16496,196,93050,2013
