IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",2144,4300,3075,49,10882,2004
150,Asthma (J45-J46),20851,27759,16059,2108,82043,2004
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2966,13541,10820,34,29532,2014
150,Asthma (J45-J46),19945,29242,18301,141,94062,2014
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2668.9999999999986,15351.999999999987,12248.999999999996,31.000000000000014,31927.999999999945,2015
150,Asthma (J45-J46),18887.999999999989,30479.999999999931,19351.999999999975,81.000000000000057,94382.000000000102,2015
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2387.9999999999977,13884.999999999971,11288.999999999984,5.0000000000000044,29073.999999999938,2016
150,Asthma (J45-J46),16564.999999999993,25671.000000000051,16884.999999999964,92.000000000000057,82582.999999999942,2016
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2859.0000000000032,15221.999999999965,12676.999999999991,10.000000000000009,32287.999999999971,2017
150,Asthma (J45-J46),16679.999999999993,26040.000000000022,17346.999999999975,46.000000000000078,82895.999999999782,2017
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2625.0000000000091,16198.999999999998,14302.000000000035,14,34856.000000000073,2018
150,Asthma (J45-J46),17448.999999999985,25592.999999999978,17822.000000000025,24,84179.000000000233,2018
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2722.0000000000077,17130.999999999971,14959.999999999975,15.000000000000002,36995.000000000065,2019
150,Asthma (J45-J46),17110.999999999993,25743.999999999978,18285.999999999953,30.000000000000121,84615.999999999971,2019
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1481.9999999999986,10194.000000000004,9416.9999999999909,3.0000000000000089,21765.000000000033,2020
150,Asthma (J45-J46),11397.999999999976,15038.000000000007,11802.999999999987,47.00000000000005,50758.000000000131,2020
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1074.0000000000011,6597.9999999999982,5924.0000000000027,5.0000000000000027,14072.000000000007,2021
150,Asthma (J45-J46),7529.9999999999973,9523.9999999999836,7343.9999999999891,20.000000000000064,31688.999999999985,2021
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1832.9999999999964,13258,12249.000000000005,9,29106.000000000007,2022
150,Asthma (J45-J46),12990.999999999996,17100.000000000029,13319.000000000013,19.000000000000011,69093.999999999913,2022
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",1810,4477,3418,36,11155,2005
150,Asthma (J45-J46),19700,26615,16505,1977,81278,2005
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2497,5642,4321,59,14334,2006
150,Asthma (J45-J46),21202,29821,18725,2077,90460,2006
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2549,6672,4896,37,16226,2007
150,Asthma (J45-J46),20981,28422,18421,2257,90081,2007
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2333,6884,4993,26,15986,2008
150,Asthma (J45-J46),22331,29997,19562,2212,95489,2008
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2663,7442,5465,51,17827,2009
150,Asthma (J45-J46),24415,30754,18886,450,100211,2009
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",3062,9147,6357,44,20446,2010
150,Asthma (J45-J46),22976,30974,18871,242,98590,2010
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2891,10471,7994,30,23173,2011
150,Asthma (J45-J46),21470,29571,18110,345,93481,2011
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2716,11064,8523,22,24217,2012
150,Asthma (J45-J46),21624,29584,18108,188,93337,2012
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",3008,12485,9102,21,26441,2013
150,Asthma (J45-J46),20869,29534,17925,138,92905,2013
